From;To;Type;Through;start_x;start_y;stop_x;stop_y;Comment
166;5607;sea;4694;-1;-1;-1;-1;166-5607
166;5679;sea;4693;-1;-1;-1;-1;166-5679
591;572;sea;4717;-1;-1;-1;-1;591-572
632;645;river_large;2336;-1;-1;-1;-1;632-645
647;761;river_large;2436;-1;-1;-1;-1;647-761
647;1091;river_large;2480;-1;-1;-1;-1;647-1091
671;1152;river_large;2441;-1;-1;-1;-1;671-1152
671;1177;river_large;2441;-1;-1;-1;-1;671-1177
845;982;sea;4598;-1;-1;-1;-1;845-982
891;877;sea;4600;-1;-1;-1;-1;891-877
899;860;sea;4601;-1;-1;-1;-1;899-860
909;854;sea;4599;-1;-1;-1;-1;909-854
932;851;sea;4599;-1;-1;-1;-1;932-851
1196;4032;sea;1329;-1;-1;-1;-1;1196-4032
1210;1208;river_large;724;-1;-1;-1;-1;1210-1208
1648;746;river_large;741;-1;-1;-1;-1;1648-746
1676;1686;sea;4663;-1;-1;-1;-1;1676-1686
1788;1767;sea;4641;-1;-1;-1;-1;1788-1767
1812;1867;sea;4639;-1;-1;-1;-1;1812-1867
3096;3222;sea;589;-1;-1;-1;-1;3096-3222
3226;5350;sea;589;-1;-1;-1;-1;3226-5350
3256;3726;sea;589;-1;-1;-1;-1;3256-3726
3315;3185;sea;589;-1;-1;-1;-1;3315-3185
3695;3689;sea;589;-1;-1;-1;-1;3695-3689
3701;7006;sea;589;-1;-1;-1;-1;3701-7006
3777;3467;sea;4553;-1;-1;-1;-1;3777-3467
3928;4051;sea;589;-1;-1;-1;-1;3928-4051
4299;3104;sea;589;-1;-1;-1;-1;4299-3104
4806;6084;sea;4587;-1;-1;-1;-1;4806-6084
4887;4884;sea;4688;-1;-1;-1;-1;4887-4884
4986;5672;sea;4631;-1;-1;-1;-1;4986-5672
5015;3750;sea;4703;-1;-1;-1;-1;5015-3750
5015;6387;sea;4702;-1;-1;-1;-1;5015-6387
5314;5332;sea;589;-1;-1;-1;-1;5314-5332
5360;5380;sea;589;-1;-1;-1;-1;5360-5380
5378;5352;sea;589;-1;-1;-1;-1;5378-5352
5399;3319;sea;589;-1;-1;-1;-1;5399-3319
5624;6291;sea;4699;-1;-1;-1;-1;5624-6291
5647;1916;sea;4633;-1;-1;-1;-1;5647-1916
6157;5555;sea;4676;-1;-1;-1;-1;6157-5555
6157;6070;sea;4690;-1;-1;-1;-1;6157-6070
6157;6409;sea;4676;-1;-1;-1;-1;6157-6409
6199;6586;sea;4700;-1;-1;-1;-1;6199-6586
6269;5996;sea;4712;-1;-1;-1;-1;6269-5996
6296;5079;sea;4701;-1;-1;-1;-1;6296-5079
6311;4835;sea;4686;-1;-1;-1;-1;6311-4835
6311;5811;sea;4685;-1;-1;-1;-1;6311-5811
6533;5985;sea;4701;-1;-1;-1;-1;6533-5985
6549;6434;sea;4696;-1;-1;-1;-1;6549-6434
6626;4528;sea;589;-1;-1;-1;-1;6626-4528
6769;7022;sea;589;-1;-1;-1;-1;6769-7022
6827;6384;sea;4712;-1;-1;-1;-1;6827-6384
6833;5763;sea;4697;-1;-1;-1;-1;6833-5763
6833;6373;sea;4693;-1;-1;-1;-1;6833-6373
7035;4354;river_large;2333;-1;-1;-1;-1;7035-4354
