embattle_side_commander_advantage_modifier = {
    icon = martial_positive
    advantage = 1
    scale = {
        value = embattle_side_commander_advantage_value
        desc = MODIFIER_DEFINITION_VALUE_PER_SIDE_ADVANTAGE
        display_mode = scaled
    }
}
# Tombstones neutralize existing saved character/province modifier instances.
# They intentionally contain NO numerical effects; no code adds them anymore.
embattle_volly_tactic_modifier = { icon = martial_positive }
embattle_charge_tactic_modifier = { icon = martial_positive }
embattle_stand_fast_tactic_modifier = { icon = martial_positive }
embattle_advance_tactic_modifier = { icon = martial_positive }
embattle_harass_tactic_modifier = { icon = martial_positive }
embattle_potshots_tactic_modifier = { icon = martial_positive }
embattle_reckless_charge_tactic_modifier = { icon = martial_positive }
embattle_confused_orders_tactic_modifier = { icon = martial_positive }
embattle_timid_advance_tactic_modifier = { icon = martial_positive }
embattle_disorganised_harass_tactic_modifier = { icon = martial_positive }
embattle_tactic_diversity_modifier = { icon = martial_positive }
embattle_tactic_counter_modifier = { icon = martial_negative }
