"符号","文件路径","行号","类别","快照日期"
"hd_dc_abduct_base_probability_value","common/script_values/hd_dc_scheme_initiation_values.txt","4","文本匹配的顶层定义","2026-09-13"
"hd_dc_abduct_initiation_probability_value","common/script_values/hd_dc_scheme_initiation_values.txt","92","文本匹配的顶层定义","2026-09-13"
"hd_dc_abort_unstarted_instance_effect","common/scripted_effects/hd_dc_record_effects.txt","187","文本匹配的顶层定义","2026-09-13"
"hd_dc_accept_claimant_demand_effect","common/scripted_effects/hd_dc_royal_pause_effects.txt","174","文本匹配的顶层定义","2026-09-13"
"hd_dc_accept_proposal_effect","common/scripted_effects/hd_dc_proposal_effects.txt","70","文本匹配的顶层定义","2026-09-13"
"hd_dc_accept_royal_support_offer_effect","common/scripted_effects/hd_dc_royal_offer_effects.txt","45","文本匹配的顶层定义","2026-09-13"
"hd_dc_add_unity_effect","common/scripted_effects/hd_dc_unity_effects.txt","6","文本匹配的顶层定义","2026-09-13"
"hd_dc_all_core_wars_resolved_trigger","common/scripted_triggers/hd_dc_war_triggers.txt","4","文本匹配的顶层定义","2026-09-13"
"hd_dc_answer_party_policy_inquiry_effect","common/scripted_effects/hd_dc_party_case_effects.txt","69","文本匹配的顶层定义","2026-09-13"
"hd_dc_answer_royal_invitation_effect","common/scripted_effects/hd_dc_royal_event_effects.txt","327","文本匹配的顶层定义","2026-09-13"
"hd_dc_answer_royal_protection_effect","common/scripted_effects/hd_dc_royal_protection_effects.txt","17","文本匹配的顶层定义","2026-09-13"
"hd_dc_apply_character_pressure_effect","common/scripted_effects/hd_dc_pressure_effects.txt","41","文本匹配的顶层定义","2026-09-13"
"hd_dc_apply_county_pressure_effect","common/scripted_effects/hd_dc_pressure_effects.txt","74","文本匹配的顶层定义","2026-09-13"
"hd_dc_apply_par01_command_response_effect","common/scripted_effects/hd_dc_party_event_effects.txt","20","文本匹配的顶层定义","2026-09-13"
"hd_dc_apply_pressure_sources_effect","common/scripted_effects/hd_dc_pressure_effects.txt","147","文本匹配的顶层定义","2026-09-13"
"hd_dc_archive_point_change_effect","common/scripted_effects/hd_dc_point_effects.txt","55","文本匹配的顶层定义","2026-09-13"
"hd_dc_audit_royal_governance_effect","common/scripted_effects/hd_dc_royal_resolution_effects.txt","78","文本匹配的顶层定义","2026-09-13"
"hd_dc_automatic_escalation_allowed_trigger","common/scripted_triggers/hd_dc_war_triggers.txt","21","文本匹配的顶层定义","2026-09-13"
"hd_dc_begin_par01_trial_effect","common/scripted_effects/hd_dc_policy_effects.txt","35","文本匹配的顶层定义","2026-09-13"
"hd_dc_begin_protection_positive_execution_effect","common/scripted_effects/hd_dc_royal_protection_effects.txt","114","文本匹配的顶层定义","2026-09-13"
"hd_dc_begin_protection_positive_imprisonment_effect","common/scripted_effects/hd_dc_royal_protection_effects.txt","89","文本匹配的顶层定义","2026-09-13"
"hd_dc_begin_protection_reason_effect","common/scripted_effects/hd_dc_royal_protection_effects.txt","82","文本匹配的顶层定义","2026-09-13"
"hd_dc_begin_theft_phase_effect","common/scripted_effects/hd_dc_theft_effects.txt","4","文本匹配的顶层定义","2026-09-13"
"hd_dc_bind_core_war_effect","common/scripted_effects/hd_dc_war_effects.txt","6","文本匹配的顶层定义","2026-09-13"
"hd_dc_bind_party_leader_effect","common/scripted_effects/hd_dc_party_effects.txt","55","文本匹配的顶层定义","2026-09-13"
"hd_dc_blackmail_base_probability_value","common/script_values/hd_dc_scheme_initiation_values.txt","57","文本匹配的顶层定义","2026-09-13"
"hd_dc_blackmail_unity_add_value","common/script_values/hd_dc_scheme_initiation_values.txt","23","文本匹配的顶层定义","2026-09-13"
"hd_dc_boot_party_effect","common/scripted_effects/hd_dc_party_effects.txt","3","文本匹配的顶层定义","2026-09-13"
"hd_dc_boot_party_policy_case_effect","common/scripted_effects/hd_dc_party_case_effects.txt","135","文本匹配的顶层定义","2026-09-13"
"hd_dc_boot_royal_actor_effect","common/scripted_effects/hd_dc_royal_effects.txt","46","文本匹配的顶层定义","2026-09-13"
"hd_dc_boot_royal_effect","common/scripted_effects/hd_dc_royal_effects.txt","3","文本匹配的顶层定义","2026-09-13"
"hd_dc_can_enter_chaos_trigger","common/scripted_triggers/hd_dc_era_triggers.txt","47","文本匹配的顶层定义","2026-09-13"
"hd_dc_can_leave_chaos_trigger","common/scripted_triggers/hd_dc_era_triggers.txt","64","文本匹配的顶层定义","2026-09-13"
"hd_dc_can_pause_royal_support_trigger","common/scripted_triggers/hd_dc_royal_pause_triggers.txt","12","文本匹配的顶层定义","2026-09-13"
"hd_dc_can_raid_in_chaos_trigger","common/scripted_triggers/hd_dc_mechanism_triggers.txt","10","文本匹配的顶层定义","2026-09-13"
"hd_dc_can_receive_mandate_reward_trigger","common/scripted_triggers/hd_dc_era_triggers.txt","75","文本匹配的顶层定义","2026-09-13"
"hd_dc_cancel_ordinary_delivery_effect","common/scripted_effects/hd_dc_ordinary_effects.txt","217","文本匹配的顶层定义","2026-09-13"
"hd_dc_cancel_royal_invitation_delivery_effect","common/scripted_effects/hd_dc_royal_event_effects.txt","256","文本匹配的顶层定义","2026-09-13"
"hd_dc_capture_protection_capital_revocation_effect","common/scripted_effects/hd_dc_royal_protection_effects.txt","194","文本匹配的顶层定义","2026-09-13"
"hd_dc_capture_protection_direct_title_revocation_effect","common/scripted_effects/hd_dc_royal_protection_effects.txt","198","文本匹配的顶层定义","2026-09-13"
"hd_dc_capture_protection_purge_reason_effect","common/scripted_effects/hd_dc_royal_protection_effects.txt","155","文本匹配的顶层定义","2026-09-13"
"hd_dc_capture_protection_reason_effect","common/scripted_effects/hd_dc_royal_protection_effects.txt","124","文本匹配的顶层定义","2026-09-13"
"hd_dc_capture_protection_revocation_effect","common/scripted_effects/hd_dc_royal_protection_effects.txt","169","文本匹配的顶层定义","2026-09-13"
"hd_dc_capture_royal_final_war_roster_effect","common/scripted_effects/hd_dc_war_effects.txt","174","文本匹配的顶层定义","2026-09-13"
"hd_dc_catalyst_effect","common/scripted_effects/hd_dc_catalyst_effects.txt","3","文本匹配的顶层定义","2026-09-13"
"hd_dc_catalyst_row_effect","common/scripted_effects/hd_dc_catalyst_effects.txt","15","文本匹配的顶层定义","2026-09-13"
"hd_dc_catalyst_with_actor_effect","common/scripted_effects/hd_dc_catalyst_effects.txt","7","文本匹配的顶层定义","2026-09-13"
"hd_dc_ceremonial_claimant_demand_base_value","common/script_values/hd_dc_faction_values.txt","67","文本匹配的顶层定义","2026-09-13"
"hd_dc_ceremonial_liberty_demand_base_value","common/script_values/hd_dc_faction_values.txt","30","文本匹配的顶层定义","2026-09-13"
"hd_dc_change_points_effect","common/scripted_effects/hd_dc_point_effects.txt","4","文本匹配的顶层定义","2026-09-13"
"hd_dc_check_extra_faction_year_effect","common/scripted_effects/hd_dc_faction_pulse_effects.txt","3","文本匹配的顶层定义","2026-09-13"
"hd_dc_claimant_demand_base_value","common/script_values/hd_dc_faction_values.txt","48","文本匹配的顶层定义","2026-09-13"
"hd_dc_claimant_mobilization_paused_trigger","common/scripted_triggers/hd_dc_royal_pause_triggers.txt","2","文本匹配的顶层定义","2026-09-13"
"hd_dc_clear_era_timers_effect","common/scripted_effects/hd_dc_era_effects.txt","46","文本匹配的顶层定义","2026-09-13"
"hd_dc_clear_protection_reason_effect","common/scripted_effects/hd_dc_royal_protection_effects.txt","73","文本匹配的顶层定义","2026-09-13"
"hd_dc_clear_title_protection_reason_effect","common/scripted_effects/hd_dc_royal_protection_effects.txt","234","文本匹配的顶层定义","2026-09-13"
"hd_dc_close_ordinary_effect","common/scripted_effects/hd_dc_ordinary_effects.txt","202","文本匹配的顶层定义","2026-09-13"
"hd_dc_close_royal_invitation_effect","common/scripted_effects/hd_dc_royal_event_effects.txt","338","文本匹配的顶层定义","2026-09-13"
"hd_dc_com.0004","events/hd_dc_common_events.txt","4","文本匹配的顶层定义","2026-09-13"
"hd_dc_com.0004.a","localization/simp_chinese/hd_dc_common_l_simp_chinese.yml","4","中文键","2026-09-13"
"hd_dc_com.0004.a.tt","localization/simp_chinese/hd_dc_common_l_simp_chinese.yml","5","中文键","2026-09-13"
"hd_dc_com.0004.b","localization/simp_chinese/hd_dc_common_l_simp_chinese.yml","6","中文键","2026-09-13"
"hd_dc_com.0004.b.tt","localization/simp_chinese/hd_dc_common_l_simp_chinese.yml","7","中文键","2026-09-13"
"hd_dc_com.0004.c","localization/simp_chinese/hd_dc_common_l_simp_chinese.yml","8","中文键","2026-09-13"
"hd_dc_com.0004.desc","localization/simp_chinese/hd_dc_common_l_simp_chinese.yml","3","中文键","2026-09-13"
"hd_dc_com.0004.t","localization/simp_chinese/hd_dc_common_l_simp_chinese.yml","2","中文键","2026-09-13"
"hd_dc_commit_governance_effect","common/scripted_effects/hd_dc_governance_effects.txt","65","文本匹配的顶层定义","2026-09-13"
"hd_dc_commit_instance_boot_effect","common/scripted_effects/hd_dc_record_effects.txt","156","文本匹配的顶层定义","2026-09-13"
"hd_dc_commit_point_receipt_effect","common/scripted_effects/hd_dc_point_effects.txt","89","文本匹配的顶层定义","2026-09-13"
"hd_dc_commit_theft_withdrawal_effect","common/scripted_effects/hd_dc_theft_effects.txt","81","文本匹配的顶层定义","2026-09-13"
"hd_dc_consume_ord09_proposal_effect","common/scripted_effects/hd_dc_ransom_effects.txt","79","文本匹配的顶层定义","2026-09-13"
"hd_dc_consume_par01_policy_offer_effect","common/scripted_effects/hd_dc_policy_offer_effects.txt","34","文本匹配的顶层定义","2026-09-13"
"hd_dc_consume_protection_harm_effect","common/scripted_effects/hd_dc_royal_protection_effects.txt","332","文本匹配的顶层定义","2026-09-13"
"hd_dc_consume_roy01_mediation_effect","common/scripted_effects/hd_dc_royal_mediation_effects.txt","37","文本匹配的顶层定义","2026-09-13"
"hd_dc_consume_roy01_proposal_effect","common/scripted_effects/hd_dc_royal_event_effects.txt","127","文本匹配的顶层定义","2026-09-13"
"hd_dc_control_loss_due_value","common/script_values/hd_dc_pressure_values.txt","25","文本匹配的顶层定义","2026-09-13"
"hd_dc_control_loss_target_value","common/script_values/hd_dc_pressure_values.txt","12","文本匹配的顶层定义","2026-09-13"
"hd_dc_control_numerator_value","common/script_values/hd_dc_parameters.txt","18","文本匹配的顶层定义","2026-09-13"
"hd_dc_control_percent_value","common/script_values/hd_dc_parameters.txt","30","文本匹配的顶层定义","2026-09-13"
"hd_dc_count_governor_trait_candidate_effect","common/scripted_effects/hd_dc_governor_trait_effects.txt","3","文本匹配的顶层定义","2026-09-13"
"hd_dc_counter_proposal_effect","common/scripted_effects/hd_dc_proposal_effects.txt","98","文本匹配的顶层定义","2026-09-13"
"hd_dc_counter_terms_opinion","common/opinion_modifiers/hd_dc_opinions.txt","2","文本匹配的顶层定义","2026-09-13"
"hd_dc_counter_terms_opinion","localization/simp_chinese/hd_dc_common_l_simp_chinese.yml","10","中文键","2026-09-13"
"hd_dc_create_actor_record_effect","common/scripted_effects/hd_dc_record_effects.txt","210","文本匹配的顶层定义","2026-09-13"
"hd_dc_create_extra_character_faction_effect","common/scripted_effects/hd_dc_faction_pulse_effects.txt","53","文本匹配的顶层定义","2026-09-13"
"hd_dc_create_extra_claimant_effect","common/scripted_effects/hd_dc_faction_pulse_claimant_effects.txt","65","文本匹配的顶层定义","2026-09-13"
"hd_dc_create_extra_county_faction_effect","common/scripted_effects/hd_dc_faction_pulse_effects.txt","68","文本匹配的顶层定义","2026-09-13"
"hd_dc_create_par01_local_offer_effect","common/scripted_effects/hd_dc_policy_offer_effects.txt","65","文本匹配的顶层定义","2026-09-13"
"hd_dc_create_proposal_effect","common/scripted_effects/hd_dc_proposal_effects.txt","5","文本匹配的顶层定义","2026-09-13"
"hd_dc_create_record_effect","common/scripted_effects/hd_dc_record_effects.txt","77","文本匹配的顶层定义","2026-09-13"
"hd_dc_credit_payment_governance_effect","common/scripted_effects/hd_dc_payment_effects.txt","73","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug_adultery_unfaithful_trigger","common/scripted_triggers/hd_dc_debug_native_relation_triggers.txt","3","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug_adultery_valid_partner_trigger","common/scripted_triggers/hd_dc_debug_native_relation_triggers.txt","34","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug_change_points_effect","common/scripted_effects/hd_dc_debug_effects.txt","2","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug_crisis_slot_trigger","common/scripted_triggers/hd_dc_debug_triggers.txt","33","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug_decision","common/decisions/hd_dc_debug_decisions.txt","1","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug_decision","localization/simp_chinese/hd_dc_debug_l_simp_chinese.yml","2","中文键","2026-09-13"
"hd_dc_debug_decision_confirm","localization/simp_chinese/hd_dc_debug_l_simp_chinese.yml","5","中文键","2026-09-13"
"hd_dc_debug_decision_desc","localization/simp_chinese/hd_dc_debug_l_simp_chinese.yml","3","中文键","2026-09-13"
"hd_dc_debug_decision_tooltip","localization/simp_chinese/hd_dc_debug_l_simp_chinese.yml","4","中文键","2026-09-13"
"hd_dc_debug_epidemic_apocalyptic","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","33","中文键","2026-09-13"
"hd_dc_debug_epidemic_bubonic_plague","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","25","中文键","2026-09-13"
"hd_dc_debug_epidemic_consumption","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","27","中文键","2026-09-13"
"hd_dc_debug_epidemic_county_trigger","common/scripted_triggers/hd_dc_debug_triggers.txt","72","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug_epidemic_dysentery","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","29","中文键","2026-09-13"
"hd_dc_debug_epidemic_ergotism","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","30","中文键","2026-09-13"
"hd_dc_debug_epidemic_intensity_trigger","common/scripted_triggers/hd_dc_debug_triggers.txt","84","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug_epidemic_major","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","32","中文键","2026-09-13"
"hd_dc_debug_epidemic_measles","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","28","中文键","2026-09-13"
"hd_dc_debug_epidemic_minor","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","31","中文键","2026-09-13"
"hd_dc_debug_epidemic_smallpox","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","24","中文键","2026-09-13"
"hd_dc_debug_epidemic_typhus","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","26","中文键","2026-09-13"
"hd_dc_debug_family_scene_trigger","common/scripted_triggers/hd_dc_debug_triggers.txt","9","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug_friend_reason","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","168","中文键","2026-09-13"
"hd_dc_debug_manual_entry_trigger","common/scripted_triggers/hd_dc_debug_triggers.txt","3","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug_neg01_desc","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","4","中文键","2026-09-13"
"hd_dc_debug_neg02_desc","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","5","中文键","2026-09-13"
"hd_dc_debug_neg03_desc","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","6","中文键","2026-09-13"
"hd_dc_debug_neg04_desc","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","7","中文键","2026-09-13"
"hd_dc_debug_neg05_desc","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","8","中文键","2026-09-13"
"hd_dc_debug_neg06_desc","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","9","中文键","2026-09-13"
"hd_dc_debug_neg07_desc","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","10","中文键","2026-09-13"
"hd_dc_debug_neg08_desc","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","11","中文键","2026-09-13"
"hd_dc_debug_neg09_desc","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","12","中文键","2026-09-13"
"hd_dc_debug_neg10_desc","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","13","中文键","2026-09-13"
"hd_dc_debug_neg11_desc","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","14","中文键","2026-09-13"
"hd_dc_debug_neg12_desc","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","15","中文键","2026-09-13"
"hd_dc_debug_neg13_desc","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","16","中文键","2026-09-13"
"hd_dc_debug_neg14_desc","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","17","中文键","2026-09-13"
"hd_dc_debug_neg15_desc","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","18","中文键","2026-09-13"
"hd_dc_debug_neg16_desc","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","19","中文键","2026-09-13"
"hd_dc_debug_neg17_desc","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","20","中文键","2026-09-13"
"hd_dc_debug_neg18_desc","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","21","中文键","2026-09-13"
"hd_dc_debug_neg19_desc","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","22","中文键","2026-09-13"
"hd_dc_debug_neg20_desc","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","23","中文键","2026-09-13"
"hd_dc_debug_par_entry_trigger","common/scripted_triggers/hd_dc_debug_triggers.txt","49","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug_par_scene_trigger","common/scripted_triggers/hd_dc_debug_triggers.txt","60","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug_party_grievance_opinion","common/opinion_modifiers/hd_dc_debug_opinions.txt","3","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug_party_grievance_opinion","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","165","中文键","2026-09-13"
"hd_dc_debug_policy_training","common/modifiers/hd_dc_debug_modifiers.txt","1","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug_policy_training","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","166","中文键","2026-09-13"
"hd_dc_debug_prepare_ord09_effect","common/scripted_effects/hd_dc_debug_scene_effects.txt","21","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug_prepare_ord13_effect","common/scripted_effects/hd_dc_debug_scene_effects.txt","52","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug_prepare_ord19_effect","common/scripted_effects/hd_dc_debug_effects.txt","20","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug_prepare_par_effect","common/scripted_effects/hd_dc_debug_scene_effects.txt","80","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug_prepare_roy_effect","common/scripted_effects/hd_dc_debug_scene_effects.txt","115","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug_prepare_support_effect","common/scripted_effects/hd_dc_debug_scene_effects.txt","136","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug_request_support_effect","common/scripted_effects/hd_dc_debug_effects.txt","90","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug_rival_reason","localization/simp_chinese/hd_dc_debug_l_simp_chinese.yml","17","中文键","2026-09-13"
"hd_dc_debug_rival_scene_trigger","common/scripted_triggers/hd_dc_debug_triggers.txt","22","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug_roy_entry_trigger","common/scripted_triggers/hd_dc_debug_triggers.txt","40","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug_roy_grievance_opinion","common/opinion_modifiers/hd_dc_debug_opinions.txt","2","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug_roy_grievance_opinion","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","169","中文键","2026-09-13"
"hd_dc_debug_roy_potential_trigger","common/scripted_triggers/hd_dc_debug_triggers.txt","137","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug_select_epidemic_effect","common/scripted_effects/hd_dc_debug_scene_effects.txt","4","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug_selected_epidemic_county_trigger","common/scripted_triggers/hd_dc_debug_triggers.txt","126","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug_set_points_effect","common/scripted_effects/hd_dc_debug_effects.txt","106","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug_spawn_selected_epidemic_effect","common/scripted_effects/hd_dc_debug_scene_effects.txt","10","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug_start_par_effect","common/scripted_effects/hd_dc_debug_effects.txt","77","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug_start_roy_effect","common/scripted_effects/hd_dc_debug_effects.txt","64","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug_support_sender_trigger","common/scripted_triggers/hd_dc_debug_triggers.txt","146","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug_trust_opinion","common/opinion_modifiers/hd_dc_debug_opinions.txt","1","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug_trust_opinion","localization/simp_chinese/hd_dc_debug_l_simp_chinese.yml","16","中文键","2026-09-13"
"hd_dc_debug_yearly_1010_abductee_trigger","common/scripted_triggers/hd_dc_debug_native_relation_triggers.txt","39","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug_yearly_1010_abductor_trigger","common/scripted_triggers/hd_dc_debug_native_relation_triggers.txt","54","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug.0001","events/hd_dc_debug_events.txt","3","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug.0001.desc","localization/simp_chinese/hd_dc_debug_l_simp_chinese.yml","7","中文键","2026-09-13"
"hd_dc_debug.0001.t","localization/simp_chinese/hd_dc_debug_l_simp_chinese.yml","6","中文键","2026-09-13"
"hd_dc_debug.0002","events/hd_dc_debug_events.txt","95","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug.0002.ready","localization/simp_chinese/hd_dc_debug_l_simp_chinese.yml","23","中文键","2026-09-13"
"hd_dc_debug.0002.t","localization/simp_chinese/hd_dc_debug_l_simp_chinese.yml","22","中文键","2026-09-13"
"hd_dc_debug.0002.waiting","localization/simp_chinese/hd_dc_debug_l_simp_chinese.yml","24","中文键","2026-09-13"
"hd_dc_debug.0003","events/hd_dc_debug_inspection_events.txt","3","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug.0010","events/hd_dc_debug_events.txt","122","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug.0011","events/hd_dc_debug_events.txt","141","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug.0020","events/hd_dc_debug_events.txt","160","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug.0020.desc","localization/simp_chinese/hd_dc_debug_l_simp_chinese.yml","36","中文键","2026-09-13"
"hd_dc_debug.0030","events/hd_dc_debug_events.txt","19","文本匹配的顶层定义","2026-09-13"
"hd_dc_debug.0030.desc","localization/simp_chinese/hd_dc_debug_l_simp_chinese.yml","13","中文键","2026-09-13"
