From;To;Type;Through;start_x;start_y;stop_x;stop_y;Comment

15;29;river_large;2186;4294967295;4294967295;4294967295;4294967295;TIANTANG-CUI
34;84;sea;589;4294967295;4294967295;4294967295;4294967295;34-84
145;5164;sea;589;4294967295;4294967295;4294967295;4294967295;145-5164
166;5607;sea;4694;4294967295;4294967295;4294967295;4294967295;166-5607
166;5679;sea;4693;4294967295;4294967295;4294967295;4294967295;166-5679
284;4433;sea;589;4294967295;4294967295;4294967295;4294967295;284-4433
4349;411;sea;589;4294967295;4294967295;4294967295;4294967295;4349-411
4101;474;sea;589;4294967295;4294967295;4294967295;4294967295;4101-474
1217;499;sea;589;4294967295;4294967295;4294967295;4294967295;1217-499
518;4478;sea;589;4294967295;4294967295;4294967295;4294967295;518-4478
537;692;sea;589;4294967295;4294967295;4294967295;4294967295;537-692
591;572;sea;4717;4294967295;4294967295;4294967295;4294967295;591-572
591;592;sea;589;4294967295;4294967295;4294967295;4294967295;591-592
7092;599;sea;589;4294967295;4294967295;4294967295;4294967295;7092-599
632;645;river_large;2336;4294967295;4294967295;4294967295;4294967295;632-645
659;645;sea;589;4294967295;4294967295;4294967295;4294967295;659-645
647;761;river_large;2436;4294967295;4294967295;4294967295;4294967295;647-761
647;1091;river_large;2480;4294967295;4294967295;4294967295;4294967295;647-1091
671;1152;river_large;2441;4294967295;4294967295;4294967295;4294967295;671-1152
671;1177;river_large;2441;4294967295;4294967295;4294967295;4294967295;671-1177
2328;674;sea;589;4294967295;4294967295;4294967295;4294967295;2328-674
1208;716;sea;589;4294967295;4294967295;4294967295;4294967295;1208-716
1613;746;river_large;741;4294967295;4294967295;4294967295;4294967295;1613-746
1648;746;river_large;741;4294967295;4294967295;4294967295;4294967295;1648-746
845;982;sea;4598;4294967295;4294967295;4294967295;4294967295;845-982
932;851;sea;4599;4294967295;4294967295;4294967295;4294967295;932-851
909;854;sea;4599;4294967295;4294967295;4294967295;4294967295;909-854
899;860;sea;4601;4294967295;4294967295;4294967295;4294967295;899-860
891;877;sea;4600;4294967295;4294967295;4294967295;4294967295;891-877
916;936;sea;589;4294967295;4294967295;4294967295;4294967295;916-936
957;934;sea;589;4294967295;4294967295;4294967295;4294967295;957-934
1152;1177;river_large;724;4294967295;4294967295;4294967295;4294967295;1152-1177
1152;2431;river_large;2480;4294967295;4294967295;4294967295;4294967295;QIAN1-GUANGWU2
1208;1153;river_large;724;4294967295;4294967295;4294967295;4294967295;WEI3-DUNQIU1
1183;1210;sea;589;4294967295;4294967295;4294967295;4294967295;1183-1210
1196;4032;sea;1329;4294967295;4294967295;4294967295;4294967295;1196-4032
1210;1208;river_large;724;4294967295;4294967295;4294967295;4294967295;1210-1208
1676;1686;sea;4663;4294967295;4294967295;4294967295;4294967295;1676-1686
1788;1767;sea;4641;4294967295;4294967295;4294967295;4294967295;1788-1767
1812;1867;sea;4639;4294967295;4294967295;4294967295;4294967295;1812-1867
1817;1879;sea;589;4294967295;4294967295;4294967295;4294967295;1817-1879
5647;1916;sea;4633;4294967295;4294967295;4294967295;4294967295;5647-1916
2154;2108;river_large;4627;4294967295;4294967295;4294967295;4294967295;2154-2108
4304;2292;sea;589;4294967295;4294967295;4294967295;4294967295;4304-2292
6886;2383;sea;589;4294967295;4294967295;4294967295;4294967295;6886-2383
3923;2979;sea;589;4294967295;4294967295;4294967295;4294967295;3923-2979
3096;3222;sea;589;4294967295;4294967295;4294967295;4294967295;3096-3222
4299;3104;sea;589;4294967295;4294967295;4294967295;4294967295;4299-3104
3315;3185;sea;589;4294967295;4294967295;4294967295;4294967295;3315-3185
3189;3679;sea;589;4294967295;4294967295;4294967295;4294967295;3189-3679
3222;3221;sea;589;4294967295;4294967295;4294967295;4294967295;3222-3221
3229;3226;sea;589;4294967295;4294967295;4294967295;4294967295;3229-3226
3226;5350;sea;589;4294967295;4294967295;4294967295;4294967295;3226-5350
3256;3726;sea;589;4294967295;4294967295;4294967295;4294967295;3256-3726
3629;3295;sea;589;4294967295;4294967295;4294967295;4294967295;3629-3295
3314;3313;sea;589;4294967295;4294967295;4294967295;4294967295;3314-3313
5399;3319;sea;589;4294967295;4294967295;4294967295;4294967295;5399-3319
3777;3467;sea;4553;4294967295;4294967295;4294967295;4294967295;3777-3467
3695;3689;sea;589;4294967295;4294967295;4294967295;4294967295;3695-3689
3701;7006;sea;589;4294967295;4294967295;4294967295;4294967295;3701-7006
5015;3750;sea;4703;4294967295;4294967295;4294967295;4294967295;5015-3750
6708;3750;sea;589;4294967295;4294967295;4294967295;4294967295;6708-3750
3928;4051;sea;589;4294967295;4294967295;4294967295;4294967295;3928-4051
4109;7092;sea;589;4294967295;4294967295;4294967295;4294967295;4109-7092
6951;4174;sea;589;4294967295;4294967295;4294967295;4294967295;6951-4174
4238;4244;sea;589;4294967295;4294967295;4294967295;4294967295;4238-4244
7035;4354;river_large;2333;4294967295;4294967295;4294967295;4294967295;7035-4354
6626;4528;sea;589;4294967295;4294967295;4294967295;4294967295;6626-4528
4806;6084;sea;4587;4294967295;4294967295;4294967295;4294967295;4806-6084
6311;4835;sea;4686;4294967295;4294967295;4294967295;4294967295;6311-4835
4887;4884;sea;4688;4294967295;4294967295;4294967295;4294967295;4887-4884
4964;6228;sea;589;4294967295;4294967295;4294967295;4294967295;4964-6228
4986;5672;sea;4631;4294967295;4294967295;4294967295;4294967295;4986-5672
5015;6387;sea;4702;4294967295;4294967295;4294967295;4294967295;5015-6387
6239;5020;sea;589;4294967295;4294967295;4294967295;4294967295;6239-5020
6296;5079;sea;4701;4294967295;4294967295;4294967295;4294967295;6296-5079
5133;6261;sea;589;4294967295;4294967295;4294967295;4294967295;5133-6261
5314;5332;sea;589;4294967295;4294967295;4294967295;4294967295;5314-5332
5378;5352;sea;589;4294967295;4294967295;4294967295;4294967295;5378-5352
5360;5380;sea;589;4294967295;4294967295;4294967295;4294967295;5360-5380
6157;5555;sea;4676;4294967295;4294967295;4294967295;4294967295;6157-5555
5624;6291;sea;4699;4294967295;4294967295;4294967295;4294967295;5624-6291
6833;5763;sea;4697;4294967295;4294967295;4294967295;4294967295;6833-5763
6311;5811;sea;4685;4294967295;4294967295;4294967295;4294967295;6311-5811
6451;5939;sea;589;4294967295;4294967295;4294967295;4294967295;6451-5939
6533;5985;sea;4701;4294967295;4294967295;4294967295;4294967295;6533-5985
6269;5996;sea;4712;4294967295;4294967295;4294967295;4294967295;6269-5996
6157;6070;sea;4690;4294967295;4294967295;4294967295;4294967295;6157-6070
6157;6409;sea;4676;4294967295;4294967295;4294967295;4294967295;6157-6409
6199;6586;sea;4700;4294967295;4294967295;4294967295;4294967295;6199-6586
6833;6373;sea;4693;4294967295;4294967295;4294967295;4294967295;6833-6373
6827;6384;sea;4712;4294967295;4294967295;4294967295;4294967295;6827-6384
6549;6434;sea;4696;4294967295;4294967295;4294967295;4294967295;6549-6434
6769;7022;sea;589;4294967295;4294967295;4294967295;4294967295;6769-7022
-1;-1;;-1;-1;-1;-1;-1;
