family,people,status,title_id,holder,house,capital,liege,detail
博陵崔氏,崔烈,blocked,,,,,,"该家族有多个既有世族头衔，须核对：c_nf_boling_sanfang_cui, c_nf_boling_sifang_cui"
范阳卢氏,卢植,existing_kept,c_hd_nf_famous_h_house_111010165001013,lu_zhi,,c_uuii_p_543,,
太原祁县王氏,王允,blocked,,,,,,"同名世族头衔不唯一，未创建重名替代：c_hd_nf_famous_h_house_111010008005013, c_hd_nf_famous_h_house_111010008014013, c_hd_nf_famous_h_uuii_book_house_3be3db78f1d4"
东莱吴氏,吴干,created,c_hd184_nf_donglai_wu,hd184_char_wu_gan,hd184_house_donglai_wu,c_uuii_p_154,k_uuii_xuzhou,按家族籍贯县定位
丹阳陶氏,陶谦,existing_kept,c_hd_nf_famous_h_house_111010031003013,tao_qian,,c_uuii_p_3533,,
安定梁氏,梁鹄,existing_kept,c_hd_nf_famous_p_liang_ji,,,c_uuii_p_1445,,
南阳章陵刘氏,刘僬,created,c_hd184_nf_nanyang_zhangling_liu,hd184_char_liu_jiao,hd184_house_nanyang_zhangling_liu,c_uuii_p_1733,k_uuii_yizhou,按籍贯郡首府定位；模组未唯一匹配具体籍贯县，不声称为确切本县
河南郤氏,郤俭,created,c_hd184_nf_henan_xi,xi_jian,house_111010303001013,c_uuii_p_787,d_shangdang_sili,按籍贯郡首府定位
东郡贾氏,贾琮,blocked,,,,,,籍贯郡无可验证首府，未拿任职地冒充家族祖籍
太原郭氏,郭缊,existing_kept,c_hd_nf_famous_h_house_111010142004013,guo_yun,,c_uuii_p_351,,
泰山羊氏,羊续,existing_kept,c_nf_taishan_yang,,,c_uuii_p_4389,,
汝南陈氏,陈逸,existing_kept,c_hd_nf_famous_p_chen_fan,,,c_uuii_p_1690,,
颍川李氏,李瓒,existing_kept,c_hd_nf_famous_p_li_ying_2,,,c_uuii_p_745,,
河南种氏,种拂,created,c_hd184_nf_henan_chong,hd184_char_chong_fu,hd184_house_henan_chong,c_uuii_p_787,k_uuii_yuzhou,按籍贯郡首府定位；模组未唯一匹配具体籍贯县，不声称为确切本县
酒泉黄氏,黄隽,created,c_hd184_nf_jiuquan_huang,huang_juan,uuii_book_house_d3dcce0cde2a,c_uuii_p_6855,d_wuwei,按籍贯郡首府定位
河间成平刘氏,刘胤,created,c_hd184_nf_hejian_chengping_liu,hd184_char_liu_yin_hejian,hd184_house_hejian_chengping_liu,c_uuii_p_1221,d_liaodong,按家族籍贯县定位
汉中南郑李氏,李燮,created,c_hd184_nf_hanzhong_nanzheng_li,li_xie,uuii_book_house_d22fde2352d2,c_uuii_p_2165,k_uuii_jizhou,按家族籍贯县定位
南阳顺阳郭氏,郭异,created,c_hd184_nf_nanyang_shunyang_guo,hd184_char_guo_yi,hd184_house_nanyang_shunyang_guo,c_uuii_p_1733,d_kuaiji,按籍贯郡首府定位；模组未唯一匹配具体籍贯县，不声称为确切本县
济阴句阳丁氏,丁从,created,c_hd184_nf_jiyin_juyang_ding,hd184_char_ding_cong,hd184_house_jiyin_juyang_ding,c_uuii_p_537,d_henei,按籍贯郡首府定位；模组未唯一匹配具体籍贯县，不声称为确切本县
扶风宋氏,宋枭,blocked,,,,,,对应表中人物未安全解析；不指定虚构族长
会稽周氏,周喁,blocked,,,,,,对应表中人物未安全解析；不指定虚构族长
太原李氏,李参,blocked,,,,,,对应表中人物未安全解析；不指定虚构族长
渔阳阳氏,阳终,blocked,,,,,,对应表中人物未安全解析；不指定虚构族长
