title,title_name,date,field,before,after,reason
c_qufu,曲阜,184.1.1,holder,hd_fictional_governor_d_lujun_184,hd184_char_chen_yi_lu,陈逸接任官位所需直属县
c_uuii_p_1091,武涉,184.1.1,holder,hd_fictional_governor_d_henei_184,hd184_char_ding_cong,丁从在河内太守辖区成为封臣
c_uuii_p_1270,阴馆,184.1.1,holder,hd_fictional_governor_d_yanmen_youzhou_184,guo_yun,郭缊接任官位所需直属县
c_uuii_p_1509,陇关,184.1.1,holder,hd_fictional_holder_c_uuii_p_1509,liang_gu,梁鹄在凉州刺史辖区成为封臣
c_uuii_p_1509,陇关,184.1.1,liege,d_long1,k_uuii_liangzhou,梁鹄在凉州刺史辖区成为封臣
c_uuii_p_2824,璧山,184.1.1,holder,hd_fictional_holder_c_uuii_p_2824,hd184_char_liu_jiao,刘僬在益州刺史辖区成为封臣
c_uuii_p_2824,璧山,184.1.1,liege,d_bajun,k_uuii_yizhou,刘僬在益州刺史辖区成为封臣
c_uuii_p_350,蛇丘,184.1.1,holder,hd_fictional_governor_d_dongping_184,hd184_char_li_zan,李瓒接任官位所需直属县
c_uuii_p_383,费,184.1.1,holder,hd_fictional_governor_d_taishan_184,zhang_ju,张举接任官位所需直属县
c_uuii_p_3856,去斤,184.1.1,holder,hd_fictional_governor_d_liaodong_184,hd184_char_liu_yin_hejian,刘胤在辽东太守辖区成为封臣
c_uuii_p_407,卢奴,184.1.1,holder,hd_fictional_governor_d_zhongshan_184,zhang_chun,张纯接任官位所需直属县
c_uuii_p_4838,吴宁,184.1.1,holder,hd_fictional_holder_c_uuii_p_4838,hd184_char_guo_yi,郭异在会稽大守辖区成为封臣
c_uuii_p_591,陈留,184.1.1,holder,hd_fictional_governor_d_chenliu_yuzhou_184,wang_yun,王允在豫州刺史辖区成为封臣
c_uuii_p_591,陈留,184.1.1,liege,d_chenliu_yuzhou,k_uuii_yuzhou,王允在豫州刺史辖区成为封臣
c_uuii_p_6412,汉宁,184.1.1,holder,hd_fictional_governor_d_guiyang_184,hd184_char_zhang_ze,张则接任官位所需直属县
c_uuii_p_7062,广陵,184.1.1,holder,hd_fictional_governor_d_guangling_184,hd184_char_wu_gan,吴干在徐州刺史辖区成为封臣
c_uuii_p_7062,广陵,184.1.1,liege,d_guangling,k_uuii_xuzhou,吴干在徐州刺史辖区成为封臣
c_uuii_p_7081,堂阳,184.1.1,holder,hd_fictional_governor_k_uuii_jizhou_184,li_xie,李燮接任官位所需直属县
c_uuii_p_745,颍阴,184.1.1,holder,hd_fictional_governor_d_yinchuan_184,hd184_char_chong_fu,种拂接任官位所需直属县
d_anping,安平,184.1.1,holder,hd_fictional_governor_d_anping_184,li_xie,李燮按表中第一顺位接任安平相
d_dongping,东平,184.1.1,holder,hd_fictional_governor_d_dongping_184,hd184_char_li_zan,李瓒按表中第一顺位接任东平相
d_guiyang,汉宁,184.1.1,holder,hd_fictional_governor_d_guiyang_184,hd184_char_zhang_ze,张则按表中第一顺位接任桂阳太守
d_lujun,鲁郡,184.1.1,holder,hd_fictional_governor_d_lujun_184,hd184_char_chen_yi_lu,陈逸按表中第一顺位接任鲁相
d_taishan,泰山,184.1.1,holder,hd_fictional_governor_d_taishan_184,zhang_ju,张举按表中第一顺位接任太山太守
d_yanmen_youzhou,雁门,184.1.1,holder,hd_fictional_governor_d_yanmen_youzhou_184,guo_yun,郭缊按表中第一顺位接任雁门太守
d_yinchuan,颍川,184.1.1,holder,hd_fictional_governor_d_yinchuan_184,hd184_char_chong_fu,种拂按表中第一顺位接任颍川太守
d_zhongshan,中山,184.1.1,holder,hd_fictional_governor_d_zhongshan_184,zhang_chun,张纯按表中第一顺位接任中山太守
