row,office,person,status,character_id,title_id,title_name,prior_holder,new_holder,liege,detail,office_id,family_raw,source_text,note,order,new_character,defer
2,廷尉,崔烈,blocked,cui_lie,e_minister_of_justice,e_minister_of_justice,,,,此头衔184年无明确持有者；不属于“hd_fictional持有”，不填空或强行创建官职,tingwei,博陵崔氏,《后汉书》：（中平二年）三月（185），廷尉崔烈为司徒,,0,False,
3,北中郎将,卢植,blocked,lu_zhi,,,,,,头衔未找到,bei_zhonglang,范阳卢氏,《后汉书》：(中平元年)，黄巾贼起，四府举植，拜北中郎将，持节,,0,False,
4,幽州刺史,郭勋,blocked,,,,,,,"存在同名人物但生卒/年龄不合；不复制或复活：guo_xun_3[生=(110, 7, 1),卒=(175, 7, 1)], xiping_guo_xun[生=(310, 1, 1),卒=(366, 1, 1)]",youzhou,,《后汉书》：广阳黄巾杀幽州刺史郭勋及太守刘卫,,0,,
5,青州刺史,黄琬,blocked,huang_wan,k_uuii_qingzhou,青州,hd_fictional_governor_k_uuii_qingzhou_184,hd_fictional_governor_k_uuii_qingzhou_184,e_han,人物已有其他领主或独立身份；分配该县会破坏封臣归属或带走土地，故保留旧安排,qingzhou,,《后汉书》：至光和末，大尉杨赐上书荐琬有拨乱之才，由是征拜议郎，擢为青州刺史，迁侍中,,0,False,
6,豫州刺史,王允,assigned_county,wang_yun,c_uuii_p_591,陈留,hd_fictional_governor_d_chenliu_yuzhou_184,wang_yun,k_uuii_yuzhou,分配当地虚构人物持有的县领；上级官位现任者保留,yuzhou,太原祁县王氏,《后汉书》：中平元年，黄巾贼起，特选拜豫州刺史,张角起兵后,0,False,
7,徐州刺史,吴干,assigned_county,hd184_char_wu_gan,c_uuii_p_7062,广陵,hd_fictional_governor_d_guangling_184,hd184_char_wu_gan,k_uuii_xuzhou,分配当地虚构人物持有的县领；上级官位现任者保留,xuzhou,东莱吴氏,《太尉刘宽碑阴》：徐州刺史东莱庐乡吴干信武,,0,True,
8,徐州刺史,陶谦,already_correct,tao_qian,k_uuii_xuzhou,徐州,tao_qian,tao_qian,e_han,已经持有对应头衔，保持原样,xuzhou,丹阳陶氏,《后汉书》：会徐州黄巾起，以谦为徐州刺史，击黄巾，大破走之，境内晏然,,1,False,
9,并州刺史,董卓,blocked,dong_zhuo_2,k_uuii_bingzhou,并州,ding_yuan,ding_yuan,h_china,人物已有等于或高于预定领主等级的领地头衔；保留原有头衔，不强制降为封臣,bingzhou,,《后汉书 董卓传》：稍迁西域戊己校尉，坐事免。后为并州刺史，河东太守。中平元年，拜东中郎将，持节，代卢植击张角于下曲阳,,0,False,
10,荆州刺史,徐璆,already_correct,xu_qiu,k_uuii_jingzhou,荆州,xu_qiu,xu_qiu,e_han,已经持有对应头衔，保持原样,jingzhou,,时南阳黄巾张曼成起兵，称“神上使”，众数万，杀郡守褚贡，屯宛下百余日。后太守秦颉击杀曼成，贼更以赵弘为帅，众浸盛，遂十余万，据宛城。俊与荆州刺史徐球及秦颉合兵万八千人围弘，自六月至八月不拔。,,0,False,
11,荆州刺史,王敏,blocked,,,,,,,"存在同名人物但生卒/年龄不合；不复制或复活：wang_min[生=(46, 7, 1),卒=(111, 7, 1)]",jingzhou,,《后汉书》：（中平三年）六月，荆州刺史王敏讨赵慈，斩之。,,1,,
12,护羌校尉,伶徵,blocked,hd184_char_ling_zheng,,,,,,头衔未找到,huqiang,,《后汉书》：(中平元年冬十月)湟中义从胡北宫伯玉与先零羌叛，以金城人边章、韩遂为军帅，攻杀护羌校尉伶徵、金城太守陈懿,,0,True,
13,凉州刺史,梁鹄,assigned_county,liang_gu,c_uuii_p_1509,陇关,hd_fictional_holder_c_uuii_p_1509,liang_gu,k_uuii_liangzhou,分配当地虚构人物持有的县领；上级官位现任者保留,liangzhou,安定梁氏,《续汉书》：中平元年，黄巾贼起，故武威太守酒泉黄隽被徵，失期。梁鹄欲奏诛隽，勋为言得免。,,0,False,
14,凉州刺史,左昌,blocked,zuo_chang,k_uuii_liangzhou,凉州,dong_zhuo_2,dong_zhuo_2,e_han,人物已有其他领主或独立身份；分配该县会破坏封臣归属或带走土地，故保留旧安排,liangzhou,,《后汉书》：中平元年，北地羌胡与边章等寇乱陇右，刺史左昌因军兴断盗数千万,,1,False,
15,凉州刺史,宋枭,blocked,,,,,,,"存在同名人物但生卒/年龄不合；不复制或复活：song_xiao[生=(110, 7, 1),卒=(175, 7, 1)]",liangzhou,扶风宋氏,《后汉书》：昌坐断盗徵，以扶风宋枭代之,,2,,
16,益州刺史,刘僬,assigned_county,hd184_char_liu_jiao,c_uuii_p_2824,璧山,hd_fictional_holder_c_uuii_p_2824,hd184_char_liu_jiao,k_uuii_yizhou,分配当地虚构人物持有的县领；上级官位现任者保留,yizhou,南阳章陵刘氏,《太尉刘宽碑阴》：益州刺史南阳章陵刘僬,与光武帝同宗,0,True,
17,益州刺史,郤俭,blocked,xi_jian,k_uuii_yizhou,益州,liu_yan_5,liu_yan_5,e_han,人物已有其他领主或独立身份；分配该县会破坏封臣归属或带走土地，故保留旧安排,yizhou,河南郤氏,会益州刺史郤俭在政烦扰，谣言远闻，而并州刺史张懿、凉州刺史耿鄙并为寇贼所害，故焉议得用。出焉为监军使者，领益州牧，前书任安为监北军使者。太仆黄琬为豫州牧，宗正刘虞为幽州牧,,1,False,
18,交阯刺史,周喁,blocked,,,,,,,交趾刺史周喁与袁绍部将周㬂（周喁）存在身份冲突；须在本地核对表中指定角色ID后才自动使用，不凭同音建成重复人物。,jiaozhou,会稽周氏,《大越史记全书》：甲子元平年州人屯兵执刺史周喁杀,,0,,
19,交阯刺史,贾琮,blocked,jia_cong,k_uuii_jiaozhou,交州,hd_fictional_governor_k_uuii_jiaozhou_184,hd_fictional_governor_k_uuii_jiaozhou_184,e_han,交趾刺史周喁与袁绍部将周㬂（周喁）存在身份冲突；须在本地核对表中指定角色ID后才自动使用，不凭同音建成重复人物。,jiaozhou,东郡贾氏,《后汉书》：(中平元年)六月（184）交阯屯兵执刺史及合浦太守来达，自称“柱天将军”，遣交阯刺史贾琮讨平之,,1,False,
20,乌桓校尉,箕稠,blocked,hd184_char_ji_chou,,,,,,头衔未找到,wuhuan,,四年，纯等遂与乌桓大人共连盟，攻蓟下，燔烧城郭，虏略百姓，杀护乌桓校尉箕稠、右北平太守刘政、辽东太守阳终等，众至十余万，屯肥如,,0,True,
21,河南尹,徐灌,blocked,,,,,,,"存在同名人物但生卒/年龄不合；不复制或复活：xu_guan[生=(110, 7, 1),卒=(175, 7, 1)]",henan,,《后汉书》：（中平元年）秋七月河南尹徐灌下狱死,,0,,
22,河南尹,,source_note,,,,,,,仅补充出处，无人物，不另造人物,henan,,《后汉书》：(中平元年)三月戊申，以河南尹何进为大将军,徐灌疑似接任何进,,,
23,右扶风,鲍鸿,blocked,,,,,,,"存在同名人物但生卒/年龄不合；不复制或复活：bao_hong[生=(195, 7, 1),卒=(260, 7, 1)]",fufeng,,《后汉书 董卓传》：明日，乃与右扶风鲍鸿等并兵俱攻，大破之，斩首数千级。,,0,,
24,雁门太守,郭缊,assigned_office,guo_yun,d_yanmen_youzhou,雁门,hd_fictional_governor_d_yanmen_youzhou_184,guo_yun,k_uuii_youzhou,只替换虚构持有者；已核对直属县与领主兼容性,yanmen,太原郭氏,《郭氏谱》载：淮祖全，大司农; 父缊，雁门太守,疑似,0,False,
25,庐江太守,羊续,blocked,yang_xu,d_lujiang,庐江,lu_kang,lu_kang,k_uuii_yangzhou,人物已有其他领主或独立身份；分配该县会破坏封臣归属或带走土地，故保留旧安排,lujiang,泰山羊氏,《后汉书 羊续传》：四迁为庐江太守。后扬州黄巾贼攻舒，焚烧城郭...中平三年（189），江夏兵赵慈反叛，杀南阳太守秦颉，攻没六县，拜续为南阳太守,,0,False,
26,南阳太守,秦颉,blocked,qin_jie,d_nanyang,南阳,chu_gong,chu_gong,k_uuii_jingzhou,没有可安全分配的当地虚构县领：该县不是虚构人物持有,nanyang,,《后汉书 羊续传》：中平三年（189），江夏兵赵慈反叛，杀南阳太守秦颉，攻没六县，拜续为南阳太守,任职在189前,0,False,
27,南阳太守,,source_note,,,,,,,仅补充出处，无人物，不另造人物,nanyang,,《后汉书》：（中平元年）六月（184），南阳太守秦颉击张曼成，斩之,,,,
28,南阳太守,褚贡,already_correct,chu_gong,d_nanyang,南阳,chu_gong,chu_gong,k_uuii_jingzhou,已经持有对应头衔，保持原样,nanyang,,《后汉书》：（中平元年）三月庚子，南阳黄巾张曼成攻杀郡守褚贡,秦颉疑似接任褚贡,1,False,
29,合浦太守,来达,blocked,,,,,,,"存在同名人物但生卒/年龄不合；不复制或复活：lai_da[生=(110, 7, 1),卒=(175, 7, 1)]",hepu,"与南阳来氏关系不明,待考",《后汉书》：((中平元年))六月（184）交阯屯兵执刺史及合浦太守来达，自称“柱天将军”，遣交阯刺史贾琮讨平之,,0,,
30,金城太守,陈懿,blocked,chen_yi,d_jincheng,金城,hd_fictional_governor_d_taishan_yuzhou_184,hd_fictional_governor_d_taishan_yuzhou_184,k_uuii_liangzhou,人物已有其他领主或独立身份；分配该县会破坏封臣归属或带走土地，故保留旧安排,jincheng,,《后汉书》：(中平元年冬十月)湟中义从胡北宫伯玉与先零羌叛，以金城人边章、韩遂为军帅，攻杀护羌校尉伶徵、金城太守陈懿,,0,False,
31,陇西太守,李相如,blocked,,,,,,,"存在同名人物但生卒/年龄不合；不复制或复活：li_xiang_ru[生=(110, 7, 1),卒=(175, 7, 1)]",longxi,,《后汉书》：(中平）三年春，遣使者持节就长安拜张温为太尉。三公在外，始之于温。其冬，徵温还京师，韩遂乃杀边章及伯玉、文侯，拥兵十余万，进围陇西。太守李相如反，与遂连和，共杀凉州刺史耿鄙。,李参与李相如疑似同一人,0,,
32,陇西太守,李参,blocked,,,,,,,"存在同名人物但生卒/年龄不合；不复制或复活：li_can[生=(110, 7, 1),卒=(175, 7, 1)]",longxi,太原李氏,《后汉书》：(中平二年）劭駮之曰：“...臣愚以为可募陇西羌胡守善不叛者，简其精勇，多其牢赏。太守李参沈静有谋，必能奖厉得其死力。当思渐消之略，不可仓卒望也。”,《太尉刘宽碑阴》：陇西大守大原（下阙）,1,,
33,汝南太守,赵谦,blocked,zhao_qian,d_runan,汝南,hd_fictional_governor_d_pengcheng_yuzhou_184,hd_fictional_governor_d_pengcheng_yuzhou_184,k_uuii_yuzhou,人物已有其他领主或独立身份；分配该县会破坏封臣归属或带走土地，故保留旧安排,runan,,《后汉书》：汝南黄巾败太守赵谦于邵陵,,0,False,
34,广阳太守,刘卫,blocked,,,,,,,"存在同名人物但生卒/年龄不合；不复制或复活：liu_wei_4[生=(110, 7, 1),卒=(175, 7, 1)]",guangyang,,《后汉书》：广阳黄巾杀幽州刺史郭勋及太守刘卫,,0,,
35,鲁相,陈逸,assigned_office,hd184_char_chen_yi_lu,d_lujun,鲁郡,hd_fictional_governor_d_lujun_184,hd184_char_chen_yi_lu,k_uuii_yuzhou,只替换虚构持有者；已核对直属县与领主兼容性,lujun,汝南陈氏,后黄巾贼起，大赦党人，乃追还逸，官至鲁相,汉太尉陈蕃之子，184后起复,0,True,
36,中山太守,张纯,assigned_office,zhang_chun,d_zhongshan,中山,hd_fictional_governor_d_zhongshan_184,zhang_chun,k_uuii_jizhou,只替换虚构持有者；已核对直属县与领主兼容性,zhongshan,,《后汉书》：中平四年，前中山太守张纯反畔，遂率鲜卑寇边郡,,0,False,
37,东平相,李瓒,assigned_office,hd184_char_li_zan,d_dongping,东平,hd_fictional_governor_d_dongping_184,hd184_char_li_zan,k_uuii_yanzhou,只替换虚构持有者；已核对直属县与领主兼容性,dongping,颍川李氏,《后汉书》：（膺）子瓒，位至东平相。初，曹操微时，瓒异其才，将没，谓子宣等曰：“时将乱矣，天下英雄无过曹操。张孟卓与吾善，袁本初汝外亲，虽尔勿依，必归曹氏。”诸子从之，并免于乱世,疑似,0,True,
38,颍川太守,种拂,assigned_office,hd184_char_chong_fu,d_yinchuan,颍川,hd_fictional_governor_d_yinchuan_184,hd184_char_chong_fu,k_uuii_yuzhou,只替换虚构持有者；已核对直属县与领主兼容性,yingchuan,河南种氏,《后汉书 独行》：河南种拂临郡，引为功曹...后黄巾贼起，郡县饥荒,,0,True,
39,颍川太守,阴修,blocked,,,,,,,"存在同名人物但生卒/年龄不合；不复制或复活：yin_xiu[生=(195, 7, 1),卒=(260, 7, 1)]",yingchuan,,谢承后汉书曰：南阳阴修为颍川太守，以旌贤擢俊为务，举五官掾张仲方正，察功曹钟繇、主簿荀彧、主记掾张礼、贼曹掾杜祐、孝廉荀攸、计吏郭图为吏，以光国朝。,,1,,
40,武威太守,黄隽,blocked,huang_juan,d_wuwei,武威,hd_fictional_governor_d_yiyang_yuzhou_184,hd_fictional_governor_d_yiyang_yuzhou_184,k_uuii_liangzhou,人物已有其他领主或独立身份；分配该县会破坏封臣归属或带走土地，故保留旧安排,wuwei,酒泉黄氏,《续汉书》：中平元年，黄巾贼起，故武威太守酒泉黄隽被徵，失期。梁鹄欲奏诛隽，勋为言得免。,,0,False,
