name,id,status,house,dynasty,birth,death,detail,sources
崔烈,cui_lie,existing,boling_cui,cui,120.1.1,192.6.28,,https://zh.wikisource.org/zh-hant/後漢書/卷8
卢植,lu_zhi,existing,fanyang_lu,lu,130.1.1,192.1.1,,https://zh.wikisource.org/zh-hant/後漢書/卷8
郭勋,,blocked,,,,,"存在同名人物但生卒/年龄不合；不复制或复活：guo_xun_3[生=(110, 7, 1),卒=(175, 7, 1)], xiping_guo_xun[生=(310, 1, 1),卒=(366, 1, 1)]",https://zh.wikisource.org/zh-hant/後漢書/卷8
黄琬,huang_wan,existing,house_111010094004013,dyn_111010094004002,141.7.1,192.7.1,,
王允,wang_yun,existing,taiyuan_wang_1,wang,137.7.1,192.7.1,,https://zh.wikisource.org/zh-hant/後漢書/卷66
吴干,hd184_char_wu_gan,new,hd184_house_donglai_wu,hd184_dynasty_donglai_wu,140.1.1,,,https://www.shidianguji.com/zh/book/SK1211/chapter/1l9l35slspjqh
陶谦,tao_qian,existing,danyang_tao,tao,132.7.1,194.7.1,,
董卓,dong_zhuo_2,existing,house_111010125004013,dyn_111010125004002,139.7.1,192.7.1,,
徐璆,xu_qiu,existing,house_111010148010013,dyn_111010148010002,151.7.1,219.7.1,,
王敏,,blocked,,,,,"存在同名人物但生卒/年龄不合；不复制或复活：wang_min[生=(46, 7, 1),卒=(111, 7, 1)]",
伶徵,hd184_char_ling_zheng,new,hd184_house_ling_zheng_branch,hd184_dynasty_ling_zheng_branch,140.1.1,,,https://zh.wikisource.org/zh-hant/後漢書/卷8
梁鹄,liang_gu,existing,uuii_book_house_50ee7ac73230,uuii_book_dyn_ed395bda60fd,154.7.1,219.7.1,,
左昌,zuo_chang,existing,uuii_book_house_a80cfb5579a4,uuii_book_dyn_e10d15555438,154.7.1,219.7.1,,
宋枭,,blocked,,,,,"存在同名人物但生卒/年龄不合；不复制或复活：song_xiao[生=(110, 7, 1),卒=(175, 7, 1)]",
