完全空的家族(house) 共 1425 个:
  house_baijia1 -> 宗族 xin571
  house_baijia10 -> 宗族 xin44
  house_baijia100 -> 宗族 xin746
  house_baijia101 -> 宗族 baijia297
  house_baijia102 -> 宗族 baijia297
  house_baijia103 -> 宗族 baijia297
  house_baijia104 -> 宗族 baijia297
  house_baijia105 -> 宗族 xin32
  house_baijia106 -> 宗族 xin747
  house_baijia107 -> 宗族 baijia297
  house_baijia108 -> 宗族 baijia297
  house_baijia109 -> 宗族 baijia297
  house_baijia11 -> 宗族 baijia297
  house_baijia110 -> 宗族 xin587
  house_baijia111 -> 宗族 baijia297
  house_baijia112 -> 宗族 xin389
  house_baijia113 -> 宗族 xin404
  house_baijia114 -> 宗族 xin455
  house_baijia115 -> 宗族 baijia297
  house_baijia116 -> 宗族 xin508
  house_baijia117 -> 宗族 baijia297
  house_baijia118 -> 宗族 xin47
  house_baijia119 -> 宗族 xin476
  house_baijia12 -> 宗族 xin507
  house_baijia120 -> 宗族 xin672
  house_baijia121 -> 宗族 xin56
  house_baijia122 -> 宗族 xin338
  house_baijia123 -> 宗族 xin57
  house_baijia124 -> 宗族 xin660
  house_baijia125 -> 宗族 baijia297
  house_baijia126 -> 宗族 xin443
  house_baijia127 -> 宗族 baijia127
  house_baijia128 -> 宗族 xin797
  house_baijia129 -> 宗族 xin817
  house_baijia13 -> 宗族 baijia297
  house_baijia130 -> 宗族 xin838
  house_baijia131 -> 宗族 baijia297
  house_baijia132 -> 宗族 baijia297
  house_baijia133 -> 宗族 baijia297
  house_baijia134 -> 宗族 baijia297
  house_baijia135 -> 宗族 baijia297
  house_baijia136 -> 宗族 baijia297
  house_baijia137 -> 宗族 xin647
  house_baijia138 -> 宗族 baijia297
  house_baijia139 -> 宗族 xin397
  house_baijia14 -> 宗族 baijia297
  house_baijia140 -> 宗族 baijia297
  house_baijia141 -> 宗族 xin51
  house_baijia142 -> 宗族 baijia297
  house_baijia143 -> 宗族 xin428
  house_baijia144 -> 宗族 xin448
  house_baijia145 -> 宗族 xin386
  house_baijia146 -> 宗族 baijia297
  house_baijia147 -> 宗族 xin621
  house_baijia148 -> 宗族 baijia297
  house_baijia149 -> 宗族 baijia297
  house_baijia15 -> 宗族 xin645
  house_baijia150 -> 宗族 xin378
  house_baijia151 -> 宗族 xin328
  house_baijia152 -> 宗族 baijia297
  house_baijia153 -> 宗族 xin328
  house_baijia154 -> 宗族 baijia297
  house_baijia155 -> 宗族 baijia297
  house_baijia156 -> 宗族 xin44
  house_baijia157 -> 宗族 xin697
  house_baijia158 -> 宗族 baijia297
  house_baijia159 -> 宗族 baijia297
  house_baijia16 -> 宗族 xin329
